Задача: 1 | Файл: test1.txt | Ошибка: Исполняемый файл ./a01.out не найден
Задача: 1 | Файл: test2.txt | Ошибка: Исполняемый файл ./a01.out не найден
Задача: 1 | Файл: test3.txt | Ошибка: Исполняемый файл ./a01.out не найден
Задача: 1 | Файл: test4.txt | Ошибка: Исполняемый файл ./a01.out не найден
Задача: 1 | Файл: test5.txt | Ошибка: Исполняемый файл ./a01.out не найден
Задача: 1 | Файл: test6.txt | Ошибка: Исполняемый файл ./a01.out не найден
Задача: 1 | Файл: test7.txt | Ошибка: Исполняемый файл ./a01.out не найден
Задача: 1 | Файл: test8.txt | Ошибка: Исполняемый файл ./a01.out не найден
Задача: 2 | Файл: test1.txt | Ошибка: Исполняемый файл ./a02.out не найден
Задача: 2 | Файл: test2.txt | Ошибка: Исполняемый файл ./a02.out не найден
Задача: 2 | Файл: test3.txt | Ошибка: Исполняемый файл ./a02.out не найден
Задача: 2 | Файл: test4.txt | Ошибка: Исполняемый файл ./a02.out не найден
Задача: 2 | Файл: test5.txt | Ошибка: Исполняемый файл ./a02.out не найден
Задача: 2 | Файл: test6.txt | Ошибка: Исполняемый файл ./a02.out не найден
Задача: 2 | Файл: test7.txt | Ошибка: Исполняемый файл ./a02.out не найден
Задача: 2 | Файл: test8.txt | Ошибка: Исполняемый файл ./a02.out не найден
Задача: 3 | Файл: test6.txt | Ошибка: Программа завершилась с кодом 254
Задача: 4 | Файл: test1.txt | Ошибка: Исполняемый файл ./a04.out не найден
Задача: 4 | Файл: test2.txt | Ошибка: Исполняемый файл ./a04.out не найден
Задача: 4 | Файл: test3.txt | Ошибка: Исполняемый файл ./a04.out не найден
Задача: 4 | Файл: test4.txt | Ошибка: Исполняемый файл ./a04.out не найден
Задача: 4 | Файл: test5.txt | Ошибка: Исполняемый файл ./a04.out не найден
Задача: 4 | Файл: test6.txt | Ошибка: Исполняемый файл ./a04.out не найден
Задача: 4 | Файл: test7.txt | Ошибка: Исполняемый файл ./a04.out не найден
Задача: 4 | Файл: test8.txt | Ошибка: Исполняемый файл ./a04.out не найден
Задача: 5 | Файл: test1.txt | Ошибка: Исполняемый файл ./a05.out не найден
Задача: 5 | Файл: test2.txt | Ошибка: Исполняемый файл ./a05.out не найден
Задача: 5 | Файл: test3.txt | Ошибка: Исполняемый файл ./a05.out не найден
Задача: 5 | Файл: test4.txt | Ошибка: Исполняемый файл ./a05.out не найден
Задача: 5 | Файл: test5.txt | Ошибка: Исполняемый файл ./a05.out не найден
Задача: 5 | Файл: test6.txt | Ошибка: Исполняемый файл ./a05.out не найден
Задача: 5 | Файл: test7.txt | Ошибка: Исполняемый файл ./a05.out не найден
Задача: 5 | Файл: test8.txt | Ошибка: Исполняемый файл ./a05.out не найден
Задача: 6 | Файл: test1.txt | Ошибка: Исполняемый файл ./a06.out не найден
Задача: 6 | Файл: test2.txt | Ошибка: Исполняемый файл ./a06.out не найден
Задача: 6 | Файл: test3.txt | Ошибка: Исполняемый файл ./a06.out не найден
Задача: 6 | Файл: test4.txt | Ошибка: Исполняемый файл ./a06.out не найден
Задача: 6 | Файл: test5.txt | Ошибка: Исполняемый файл ./a06.out не найден
Задача: 6 | Файл: test6.txt | Ошибка: Исполняемый файл ./a06.out не найден
Задача: 6 | Файл: test7.txt | Ошибка: Исполняемый файл ./a06.out не найден
Задача: 6 | Файл: test8.txt | Ошибка: Исполняемый файл ./a06.out не найден
Задача: 7 | Файл: test1.txt | Ошибка: Исполняемый файл ./a07.out не найден
Задача: 7 | Файл: test2.txt | Ошибка: Исполняемый файл ./a07.out не найден
