Задача: 1 | Файл: test6.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 2 | Файл: test6.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 3 | Файл: test6.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 4 | Файл: test6.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 5 | Файл: test6.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 6 | Файл: test6.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 7 | Файл: test6.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 8 | Файл: test6.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 9 | Файл: test6.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 10 | Файл: test2.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 10 | Файл: test4.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 10 | Файл: test5.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 10 | Файл: test6.txt | Ошибка: SEGFAULT (нарушение сегментации)
Задача: 10 | Файл: test8.txt | Ошибка: SEGFAULT (нарушение сегментации)
